original,0
"A gas station, fueling station, filling station, service station, petrol station, garage, gasbar, petrol pump or petrol bunk (India) is a facility which sells fuel and lubricants for motor vehicles.",A gas station and it's other forms like petrol station is a facility which sells fuel and lubricants for cars.
"Modified SUVs also take part in races, including the Paris-Dakar Rally and the Australian Outback.",Modified SUVs also take part in races.
"Mélodies continue to be composed today, though perhaps the last uncontestedly great composer of them was Francis Poulenc, who died in 1963.","Mélodies continue to be composed today, though the last recognized as a great composer was Francis Poulenc, who died in 1963."
"Romulus, the first moon, was discovered on February 18, 2001 from the Keck II telescope by Michael E. Brown and Jean-Luc Margot.","Romulus, the first moon, was discovered on February 18, 2001 from the Keck II telescope.  Romulus was found by Michael E. Brown and Jean-Luc Margot."
"They run 20 hours a day, 364 days a year, with 95% of them operational at any one time, and can cope with 13,000 passengers per hour.","They run 20 hours a day, 364 days a year, with 95% of them operational at the same time.  They can cope with 13,000 passengers per hour."
Regular season The Boston Bruins led the league in overall points with 110.,In regular season the Boston Bruins led the league with 110 points.
"The Twelve-wired Bird of Paradise, Seleucidis melanoleucus or Seleucidis melanoleuca, is a medium-sized, approximately 33cm-long, velvet black and yellow bird of paradise.","The Seleucidis melanoleucus or Seleucidis melanoleuca is a medium-sized, about 33cm-long, velvet black and yellow bird of paradise."
"Troposodon minor Sthenurus oreas Simosthenurus occidentalis (another Sthenurine) was about as tall as a modern Eastern Grey Kangaroo, but much more robust.","The Sthenurine was about as tall as the Eastern Gray Kangaroo, but stronger and healthier."
The Miss USA beauty contest has been held annually since 1952 to select the United States entrant in the Miss Universe pageant.,The Miss USA beauty contest has been held every year since 1952 to select their entrant for the Miss Universe pageant.
Few senior American economists agreed with Keynes through most of the 1930s.,Few expert American economists agreed with Keynes through most of the 1930s.
The Double Standard View is the official position of the Roman Catholic Church.,The Double Standard View is the strict position of the Roman Catholic Church.
"His magisterium includes almost 1,000 addresses and radio broadcasts.","His teachings have included almost 1,000 addresses and radio broadcasts."
"Jörg Heinrich (born December 6, 1969 in Rathenow) is a German football defender.",Jörg Heinrich is a German football defender.
"Peter Richardson then negotiated a deal for six self-contained half-hour films, using the group as comedy actors rather than stand-up performers.",Peter Richardson made a deal for six seperate half-hour films. He used the group as comedy actors instead of stand-up perfomers
Roseanne is an American sitcom broadcast on ABC from 1988 to 1997 starring Roseanne Barr.,Roseanne was a sitcom on ABC from 1988 to 1997. It starred Roseanne Barr.
"Rather than focus solely on mainstream acts, Revolver introduces many acts that are not played on the radio or on MTV.","Instead of focusing on the main acts, Revolver showed many that are not on radio or MTV."
"It is a strategy of problem-solving relying on ""appeals"" rather than coercion.",Its problem-solving strategy relys on appealing instead of persuading
Coles Supermarkets is an Australian supermarket chain owned by Wesfarmers (formerly Coles Group before its acquisition on 23 November 2007).,Coles Supermarkets is an Australian supermarket chain. It is owned by Wesfarmers.
At first the aroma is apple like and pleasant but it becomes peculiarly musky when overripe.,"At first it smells pleasantly like an apple, but it becomes musky when overripe."
"Because the neck is not externally visible, the head and body appear to merge together.","Because the neck is not visible, the head and body look like they are one."
Some speculative sources say that he was also in Paris between 1308 and 1310.,Some say that he was in Paris between 1308 and 1310.
"Still further west is the Tortugas Bank, which is completely submerged.","Further west is Tortugas bank, which is entirely underwater."
It was at this time that she allegedly discovered the hiding place of three crosses used at the crucifixion of Jesus and the two thieves — Dismas and Gestas — who were executed with him.,"At this time she supposably found the hiding place of the crosses used to crucify Jesus, Dismas, and Gestas."
"Filmography In 1996, Barker played himself in the Adam Sandler comedy Happy Gilmore.","In 1996, Barker played himself in the movie Happy Gilmore"
Career Berzelius was born at Väversunda in Östergötland in Sweden.,Berzelius was born in Sweden.
History Birth of the Furby Dave Hampton and Caleb Chung created the Furby in merely nine months (in addition to an additional nine months spent designing the toy).,Dave Hampton and Caleb Chung created the Furby in merely nine months (in addition to an additional nine months spent designing the toy).
"The state's population is concentrated in South East Queensland, which includes the capital Brisbane, Logan City, Ipswich, Toowoomba, and the Gold and Sunshine Coasts.","The state's population is concentrated in South East Queensland, including the capital Brisbane, Logan City, Ipswich, Toowoomba, and the Gold and Sunshine Coasts."
It is theorized that they made up for this deficiency by regularly eating thiamine-rich soba.,It is thought that they made up for this deficiency by regularly eating thiamine-rich soba.
"The name ""Gulf of California"" predominates on most maps in English today.","The name ""Gulf of California"" is prominent on most maps in English today."
"In the early afternoon around 1: 00, the crowd broke into the undefended outer courtyard and the chains on the drawbridge to the inner courtyard were cut.","Around 1: 00 pm, the crowd broke into the undefended outer courtyard and the chains on the drawbridge to the inner courtyard were cut."
"In the United States antidepressants and tranquilizers are now the top selling class of prescription drugs, and neuroleptics and other psychiatric drugs also rank near the top, all with expanding sales.","In the United States antidepressants and tranquilizers are now the top selling class of prescription drugs. Neuroleptics and other psychiatric drugs also rank near the top, all with rising sales."
Geography Libourne is located at the confluence of the Isle and Dordogne rivers.,Libourne is located at the confluence of the Isle and Dordogne rivers.
"Cameron's wife Noble also starred in the film series, playing Hattie Durham.","Noble starred in the film series, playing Hattie Durham."
"After the end of the fifth overtime period, managers Conn Smythe of the Maple Leafs and Art Ross of the Bruins asked league president Frank Calder to suspend the game, but Calder refused.","After the end of the fifth overtime period, managers Conn Smythe of the Maple Leafs and Art Ross of the Bruins asked league president Frank Calder to suspend the game.  Calder refused."
Wilson settled in the district in late 1836 with his wife and family.,Wilson went to live in the district in late 1836 with his wife and family.
"Twin cities and consulates Manchester has formal twinning arrangements (or ""friendship agreements"") with several places.",Twin cities and consulates Manchester has formal twinning arrangements with several places.
Pantaléon Enrique Costanzo Granados y Campiña (27 July 1867 24 March 1916) was a Spanish Catalan pianist and composer of classical music.,Pantaléon Enrique Costanzo Granados y Campiña was a Spanish Catalan pianist and composer of classical music.
"Hurricane Dog caused extensive damage to the Leeward Islands, and was considered the most severe hurricane on record in Antigua.","Hurricane Dog caused extensive damage to the Leeward Islands, and was considered the worst hurricane on record in Antigua."
The northern French half comprises the Collectivité de Saint-Martin (Collectivity of St. Martin) and is an overseas collectivity of France.,The northern French half comprises the Collectivité de Saint-Martin and is an overseas collectivity of France.
Railways The location of the town in the bottom of a steep valley counted against it for railway construction.,The location of the town in the bottom of a steep valley counted against it for railway construction.
Passenger trains operated to Forbes until 1983.,Passenger trains went to Forbes until 1983.
"It provided a variety of music, from pop-punk, surf rock, and ska, to an acoustic ballad.","It added pop-pink, surf rock, and ska to an acoustic ballad."
"They were then replaced by the 4th Armored Division in 1957, which was redesignated as the 1st Armored Division in 1971 and moved to Hindenburg Kaserne in Ansbach in 1972.","The were replaced by the 4th Armored Division in 1957, renamed the 1st Armored Division on 1971, and moved to Hindenburg Kaserne in 1972"
"ISBN 1559390506 ISBN 978 - 1559390507 Blackman, Sushila (Compiled and edited) (1997).","Sushila Blackman 1997, ISBN 1559390506."
"The sixth, seventh, and eighth digits indicate the municipality or the number of the unincorporated area.","The number of an unincorporated area is its sixth, seventh, and eighth digit."
"In 2006, he co-starred in the independent film Manhattan Minute.",He co-starred in the independent movie Manhattan Minute.
Hot chocolate and churros is the traditional working-man's breakfast in Spain.,Hot chocolate and churros is the traditional workers breakfast in Spain.
"It was discovered from the images taken by Voyager 2 on January 20, 1986 and was given the temporary designation S / 1986 U 8.","It was found in the images taken by Voyager 2 on January 20, 1986.  It was given the temporary designation S / 1986 U 8."
"Thus from White Oak, he went to Princeton, where he worked on his equilibrium theory.","After White Oak, he went to Princeton, where he worked on his equilibrium theory."
"Many specialize in machine construction, medical equipment, international trade, optics and electronics.","Specialties are machine construction, medical equipment, international trade, optics and electronics."
"In Smithson's will, he stated that should his nephew, Henry James Hungerford, die without heirs, the Smithson estate would go to the government of the United States for creating an ""Establishment for the increase & diffusion of Knowledge among men"".","He stated in his will that should his nephew, Henry James Hungerford, die without children, the Smithson estate would go to the government of the United States.  He wanted it used as an ""Establishment for the increase & diffusion of Knowledge among men""."
"Satan represents all of the so-called sins, as they all lead to physical, mental, or emotional gratification.","Satan represents all of the so-called sins, because they lead to physical, mental, or emotional gratification."
The prisoners sentenced to incarceration were transferred to Spandau Prison in 1947.,The prisoners sentenced to incarceration were moved to Spandau Prison in 1947.
"Using their tail to support their weight, they deliver kicks with their powerful hind legs.",They use their tail for support as they deliver kicks with their powerful hind legs.
"Killzone 2 is a first-person shooter (FPS) for the PlayStation 3, developed by Guerrilla Games and published by Sony Computer Entertainment.",Killzone 2 is a first-person shooter (FPS) for the PlayStation 3.  It was developed by Guerrilla Games and published by Sony Computer Entertainment.
Keymer was an ancient parish that like its near neighbour Clayton was merged into the modern day parish of Hassocks.,Keymer was an ancient parish that was merged into the modern day parish of Hassocks.
Combined oral contraceptive use reduces the risk of ovarian cancer by 40% and the risk of endometrial cancer by 50% compared to never users.,Combined oral contraceptive use reduces the risk of ovarian cancer by 40%.   The risk of endometrial cancer is cut by 50% compared non-users.
This category contains articles related to motorways in the United Kingdom.,This set of items has news stories that are similar to the motorways in the United Kingdom.
The other featured match was between WWE Champion Rob Van Dam defending the title against Edge in a singles match.,The other main fight was between WWE Champion Rob Van Dam fighting to keep his title against Edge in a one on one fight.
"Ironically, this antagonistic relationship between Rick and Vyvyan makes them virtually inseparable, as the two spend by far more time together than with the other housemates.","As strange as it may seem, the negative and angry relationship between Rick and Vyvyan makes them almost not able to be taken apart from each other, as the two spend much more time together than they do with the other people in the house."
"A year later, he was appointed as the Minister of Commerce and Industry.","A year later, he was given the job as Minister of Commerce and Industry"
In 1975 these two districts were merged to form today's district.,In 1975 these two districts were came together to form today's district.
"This includes all natural and human accidents and errors and is calculated over roughly 160,000 Shinkansen trips completed.","This includes all natural and human accidents and errors. It's calculated over roughly 160,000 Shinkansen trips completed."
A final violent confrontation with police took place at Glenrowan.,A final violent confrontation with police happened at Glenrowan.
"The subunguis is the softer, flaky underside layer whose grain is parallel to the direction of growth.","The subunguis is the softer, flaky underside layer.  The grain is parallel to the direction of growth."
Tobacco: In 1984 he wrote that nicotine has an addictiveness similar to that of heroin or cocaine.,In 1984 he wrote that nicotine has an addictiveness similar to that of heroin or cocaine.
"Records indicate that they began in 776 BC in Olympia, Greece.","Records show that they started in 776 BC in Olympia, Greece."
"The first use of the word was for the limbs of fish, but has been extended to include other animal limbs and man-made devices.","The first use of the word was for the limbs of fish, but has been extended to include other animal limbs."
"However, during his third appearance, Miller broke his collarbone in a fall.","During his third appearance, Miller broke his collarbone in a fall."
"INVEST or Storm 91C, was an unusual weather event of 2006.","Storm 91C, was an unusual weather event of 2006."
For official forecasts see the NHC's public advisory archive on Hurricane Karl.,For official forecasts look at the NHC's public advisory archive on Hurricane Karl.
"The Lonely Mountain Jar Inscription, the first published tengwar sample, dates to 1937 (The Hobbit, most editions).","The Lonely Mountain Jar Inscription, the first published tengwar sample, dates to 1937."
"Tropical storms in Arizona are infrequent, since the predominant storm track carries most storms that form in the Eastern Pacific either parallel or away from the Pacific coast of northwestern Mexico.","Tropical storms in Arizona are rare, since the predominant storm track carries most storms that form in the Eastern Pacific either parallel or away from the Pacific coast of northwestern Mexico."
"Chianti Superiore Chianti Superiore is an Italian DOCG wine produced in the provinces of Arezzo, Florence, Pisa, Pistoia, Prato and Siena, in Tuscany.","Chianti Superiore is a DOCG wine made in Tuscany provinces Arezzo, Florence, Pisa, Pistoia, Prato and Siena."
"Thinner is a 1984 novel by Stephen King, published under his pseudonym, Richard Bachman.","Stephen king published Thinner in 1984 as ""Richard Bachman""."
Bollywood plots have tended to be melodramatic.,Bollywood plots are usually dramatic.
"They may be removed for several reasons, including impaired breathing through the nose and chronic infections or earaches.","They can be removed for reduced nose breathing, long term infections and earaches, etc."
"Niccolò Machiavelli, author of The Prince, also witnessed and wrote about the execution.","Niccolò Machiavelli, also witnessed and wrote about the execution."
"Hughes' story ""Blessed Assurance"" deals with a father's anger over his son's effeminacy and queerness.","Hughes' story ""Blessed Assurance"" deals with a father's anger over his son being feminine and strange."
"In 1855 parts of Nash County, Edgecombe County, Johnston County, and Wayne County were combined to form Wilson County, North Carolina.","In 1855 parts of Nash County, Edgecombe County, Johnston County, and Wayne County joined to make Wilson County, North Carolina."
"Watonga, Kingfisher and Geary were the hardest-hit communities, where many houses and buildings were inundated.","Watonga, Kingfisher and Geary were the hardest-hit communities, where many houses and buildings were damaged."
"To provide water for its steam locomotives, the Commissioners decided to provide a dam and pump water from it to a facility, known as Young Tank, at the post.","To provide water for its steam trains, the Commissioners provided a dam and pumped water from it to a facility, known as Young Tank, at the post."
"Unobserved, Susanna re-enters the bedroom with the clothing and conceals herself after she realises what is wrong (She knows that to reveal her presence would only result in the worst possible consequences to the Countess).","Without being seen, Susanna re-enters the bedroom with the clothing and conceals herself after she realises what is wrong."
"The video premiered on MTV's Headbangers Ball on October 25, 2008 as part of the Headbangers Ball 20th anniversary special programming.","The video first showed on MTV's Headbangers Ball on October 25, 2008.  It was part of the Headbangers Ball 20th anniversary special programming."
"History The state was created in 1951 out of the historical states of Baden, Hohenzollern and Württemberg, part of the region of Swabia.","The state was created in 1951 out of the historical states of Baden, Hohenzollern and Württemberg, a region of Swabia."
"After the abolition of slavery in 1835, many Indian and Chinese workers were brought to work the land, and cultivate sugar cane, at that time used to produce rum.","After the end of slavery in 1835, many Indian and Chinese were brought to grow sugar cane, at that time used to make rum."
"Marxists Internet Archive (also known as MIA or Marxists. org) is a volunteer based non-profit organization that maintains a multi-lingual Internet archive of Marxist writers and other similar authors (socialists, anarchists, etc.).",Marxists Internet Archive is a non-profit organization keeps an Internet archive in many languages of Marxist writers and other similar authors.
It has been suggested that Vättern is the largest body of potable water in the world.,Vättern is believed to be the largest body of drinkable water in the world.
French troops land at Kilcummin in County Mayo to assist the Irish rebellion.,French troops arrive to Kilcummin to help the Irish rebellion.
The game also features co-operative play (co-op) which allows players to complete the story based single player mode together.,The game has co-operative play. In this mode players complete the story together.
"The psychological state of sympathy is closely linked with that of compassion, empathy and empathic concern.",Sympathy is closely linked with compassion and empathy.
"The Shaolin Monastery or Shaolin Temple, is a Chán Buddhist temple at Song Shan near Zhengzhou City Henan Province in Dengfeng, China.","The Shaolin Monastery is a Chán Buddhist temple. It is located at Song Shan near Zhengzhou City Henan Province in Dengfeng, China."
"During the play, Violet signs the marriage document with her left hand to invalidate the bill.",In the play Violet signs the marriage document with her hand to cancel it.
"As a number One is the integer before two, and after zero.","One is the number before two, and after zero."
The storm dropped heavy rainfall near its immediate landfall location but little precipitation elsewhere.,The storm dropped heavy rainfall near its immediate landfall location but little rain elsewhere.
"From about 200 to 30 million years ago, the North American Plate was in continual collision with the Farallon Plate.","From about 200 to 30 million years ago, the North American Plate was pushing on the Farallon Plate."
"The British described Cheema as a powerful and united, but quarrelsome tribe.",The British described Cheema as a powerful and united tribe that liked to fight.
"As of 2007, a maximum of two builders can be inducted in one year.","As of 2007, a up to two builders can be inducted in one year."
"Synopsis Place: A Spanish state prison, a few miles from Seville Time: Late 1700s.","Synopsis Place is a Spanish state prison, a few miles from Seville."
"Before the outbreak's end, Andover, Kansas, would record the year's only F5 tornado (see Andover, Kansas Tornado Outbreak).","Before the outbreak's end, Andover, Kansas, would record the year's only F5 tornado."
"The Hanseatic city of Greifswald is enclosed by the district, but does not belong to it.","The Hanseatic city of Greifswald is enclosed by the district, but isn't a part of the district."
"The team with home-ice advantage hosts Games 1, 2, 5 and 7, while the opponent hosts Games 3, 4 and 6 (Games 5 – 7 are played ""if necessary"").","The home team hosts Games 1, 2, 5 and 7, and the opponent hosts Games 3, 4 and 6."
A fugue forms the development section of the last movement of his piano sonata op.,A fugue consists of the section of the last movement of his piano sonata op.
The show is currently not on the air in the United States.,The show is not playing in the United States.
He performed on a regular basis for white audiences in the 1900s.,He played often for white spectators in the 1900s.
"The formation of Armenian revolutionary groups began roughly around the end of the Russo-Turkish War of 1878 and intensified with the first introduction of Article 166 of the Ottoman Penal code 166, and the raid of Erzerum Cathedral.","The creation of Armenian revolutionary groups began around the end of the Russo-Turkish War of 1878.  The war intensified with the first introduction of Article 166 of the Ottoman Penal code 166, and the raid of Erzerum Cathedral."
"History The district was created in 1817 as Bilsteiner Kreis, in 1819 the capital was set to be Olpe.",The district was created in 1817 as Bilsteiner Kreis.  Olpe was made the capital in 1819.
Eunomia has been observed occulting stars three times.,Eunomia has been seen occulting stars three times.
"Its symbol is ""$"", with ""RD $"" used when distinction from other pesos (or dollars) is required; its ISO 4217 code is ""DOP"".","Its symbol is ""$"", with ""RD $"" used to tell the difference from other pesos (or dollars).  Its ISO 4217 code is ""DOP""."
"His oeuvre revolutionized the traditional tango into a new style termed nuevo tango, incorporating elements from jazz and classical music.",His style of palying changed the traditional tango into a new style termed nuevo tango. It has elements from jazz and classical music.
The attempts at mutiny in 1915 and the Lahore conspiracy trials were still in public attention.,The attempts to rebel in 1915 and the Lahore conspiracy trials were still active
"Finally, the town had no cultural life that could offer competition to Wagner's own artistic dominance.",The town had no cultural life that could compete with Wagner's.
"To help ease the resumption of services after the storm passes, CN also issued an embargo with the Association of American Railroads against all deliveries to points south of Osyka, Mississippi.","To help with the return of services after the storm passes, CN issued a trade ban with the Association of American Railroads for all deliveries to south of Osyka."
Key (v) indicates the actor or actress lent only his or her voice for his or her film character.,Key (v) shows the actor or actress only gave their voice for their character.
There are fewer Western expatriates than in the larger centers of Abu Dhabi and Dubai.,There are less Western immigrants than in Abu Dhabi and Dubai.
It was discovered in 1907 by August Kopff.,August Kopff found it in 1907.
"Initially very disorganized, surface pressures gradually decreased across the region, with a weak low pressure area developing on September 19.","Starting very messy, surface pressure slowly went down across the region. A wesk low pressure area started on September 19"
"Figaro then arrives and tries to initiate the beginning of the wedding festivities, but the Count stops him and asks who wrote the anonymous note given to him by Basilio.","Fiago then shows up and tries to start the beginning of the wedding events, but the Count stops him and asks who wrote the note with no name that was given to him by Basilio"
"Thal is one of the ten districts of the canton of Solothurn in Switzerland, situated in the centre of the canton.","Thal is one of the ten areas of the small land territory of Solothurn in Switzerland, found in the center of that small land territory"
"Reservoir Dogs stars an ensemble cast with Harvey Keitel, Steve Buscemi, Tim Roth, Michael Madsen, Quentin Tarantino, Chris Penn and Lawrence Tierney.","Reservoir Dogs has a group of actors such as; Harvey Keitel, Steve Buscemi, Tim Roth, Michael Madsen, Quentin Tarantino, Chris Penn and Lawrence Tierney."
Piper later landed a role in a television commercial promoting the pop magazine Smash Hits.,Paper later got a role in a television commercial that gave very helpful information on the popular magazine Smash Hits.
"Mohallas Nuryali Chakargally Tipper Ban seergah sydan Salandi Choki Seergah Dana Choaha Planni Bagla Sorrah Schools Public school - government funded Government primary, middle and high school for girls Government primary, middle, high and higher secondary schools for boys.","Original: Mohallas, Nuryali, Chakargally, Tipper, Ban seergah sydan, Salandi, Chok,i Seergah, Dana, Choaha, Planni, Bagla, and  Sorrah Schools are; Public school, Government funded primary, middle, and high school for girls and boys, and higher secondary for just boys."
"Mergers and outreach, 1921 In 1921 the Philharmonic merged with New York's National Symphony Orchestra (no relation to the present Washington, D. C. ensemble).","The Philharmonic and New York National Symphony Orchestra combined in 1921. (no connection to the current Washington, D.C. group)"
"Over 6,000 navvies were hired for up to two years building, blasting and clearing rubble beneath the South Downs to create Clayton Tunnel.","Over 6,000 workers were hired to make the Clayton Tunnel. They spent up to two years building, blasting, and clearing remains below South Downs."
"The team was founded by Alexander Cartwright, considered one of the original developers of modern baseball.",Alexander Cartwright started the team. He is considered one of the original makers of todays baseball.
It is an interesting genre since it incorporates both American rock and Pakistani Classical music.,It is an interesting genre since it includes both American rock and Pakistani Classical music.
A road number is often assigned to a stretch of public roadway.,A road number is often given to a part of roadway.
"One famous example is his Sudarium of Saint Veronica (1649), an engraving of the face of Jesus made from a single spiraling line that starts at the tip of Jesus's nose.","One famous example is his Sudarium of Saint Veronica, an picture of the face of Jesus made from one line."
"She made her debut in Series 3's ""Smith and Jones"", broadcast in the UK on 31 March 2007.","She first appeared in ""Smith and Jones"" series in the UK on 31 March 2007."
"The effect is also termed the Hertz Effect, The American journal of science.",The American journal of science also calls it the Hertz Effect.
"The partitions were carried out by Prussia, Russia and Habsburg Austria dividing up the Commonwealth lands among themselves.","Prussia, Russia, and Habsburg Austria split up the Commonwealth lands among themselves."
"Witnessing the murder of his colleague Owen, Jack shoots his killer in the forehead, killing him in an act of swift revenge.","Jack saw his partner killed, so he shot the killer in the forehead out of revenge."
"After receiving suspended sentences several times for anti-government activities, Yun retired from politics in 1980 and focused primarily on cultural activities until his death from diabetic conditions and high blood pressure in 1990.",Yun retired in 1980 after being suspended several times for anti-government activities. He then mainly focused on cultural activites until he died in 1990 from diabetes and high blood pressure.
A borough is an administrative division of various countries.,A borough is an administrative area of various countries.
"While smaller towns to the east, including Gundowring and Kergunyah, remained under threat, the CFA said that there was no immediate danger to the larger towns of Beechworth and Yackandandah on the northern fringe of the fire area.","While smaller towns to the east remained under threat, the CFA said that there was no immediate danger to the big towns of Beechworth and Yackandandah on the northern edge of the fire area."
Libra (1988) is a novel written by Don DeLillo.,Libra is a book written by Don DeLillo.
Jacques René Chirac (born 29 November 1932) served as the President of France from 17 May 1995 until 16 May 2007.,Jacques René Chirac served as the President of France from 17 May 1995 until 16 May 2007.
Under the 1862 Police Regulation Act Pottinger was appointed an inspector of police for the Western District.,"Under the 1862 Police Regulation Act, Pottinger was made an inspector of police for the Western District."
"In 1265, Simon de Montfort, 6th Earl of Leicester summoned the first elected Parliament.","Simon de Montfort, 6th Earl of Leicester summoned the first elected Parliament in 1265."
Pasargadae remained the Persian capital until Darius founded another in Persepolis.,Pasargadae stayed the Persian capital until Darius founded another in Persepolis.
1268 - King Stephen V of Hungary launches a war against Bulgaria.,King Stephen V of Hungary launches a war against Bulgaria in 1268.
"William J. ""Bill"" Bowerman (February 19, 1911 – December 24, 1999) was an American track and field coach and co-founder of Nike, Inc.","William J. ""Bill"" Bowerman was an American track and field coach and co-founder of Nike, Inc."
"The fire threatened the Loy Yang Power Station, particularly the station's open-cut coal mine.",The fire threatened the Loy Yang Power Station.
Manchester became the first city in the UK to acquire a modern light rail tram system when the Manchester Metrolink opened in 1992.,Manchester became the first city in the UK to get a modern light rail tram system when the Manchester Metrolink opened in 1992.
"Noli Me Tangere was finished in Berlin, Germany on March 29, 1887.","Noli Me Tangere was done in Berlin, Germany on March 29, 1887."
"Only smuggling across the Syrian border, and humanitarian aid ameliorated the humanitarian crisis.","only hidden across the Syrian border, and humanitarian aid improved the crisis."
"It is the county seat of Washington County, and, by many definitions, the largest city in a region known as Western Maryland.","It is the Washington County seat, and the largest city in Western Maryland."
"The river originates from Lulusar lake, nearly 48km from Naran Valley.","The river starts at Lulusar Lake, nearly 48km from Naran Valley."
"Jewelers often refer to their craft as metalsmithing, and many universities offer degree programs in metalsmithing, jewelry and blacksmithing under the auspices of their fine arts programs.","Jewelers often call if metalsmithing. Many universities offer approved fine arts programs in metalsmithing, jewelry, and blacksmithing."
"In 2005, Boreanaz began starring opposite Emily Deschanel on the current prime time television series, Bones.","Boreanaz began starring opposite Emily Deschanel in 2005 on prime time television series, Bones."
Honours Mitsuko Uchida was appointed Honorary Commander of the Order of the British Empire (CBE) in the 2001 New Year Honours.,Mitsuko Uchida was appointed Honorary Commander of the Order of the British Empire (CBE) in the 2001 New Year Honours.
"The issue had divided the country, the government, and even Bowell's own Cabinet.","The issue separated the country, the government, and even Bowell's own Cabinet."
The town is mostly constituted of mud houses and small canals that supply water.,The town is mostly made of mud houses and small canals that supply water.
RollerCoaster Tycoon (or often abbreviated RCT) is a series of computer games that simulate amusement park management.,RollerCoaster Tycoon is a series of computer games that act out amusement park management.
Women experience less navel lint because of their finer and shorter body hairs.,Women experience less navel lint because they have smaller body hairs.
If you are reading this page it is possible that this has happened to your RfA.,It is possible that this has happened to your RfA.
"History The district was created in 1994 by merging the previous districts Eisenberg, Jena and Stadtroda.","The district was made in 1994 by joining the previous districts Eisenberg, Jena and Stadtroda."
"Barbara Castle, the Minister of Transport, gave approval on 4 August 1967 for the Brixton extension to be built.","Barbara Castle, the Minister of Transport, approved the Brixton extenstion to be built on August 4 1967"
"To the south lies the Laurenzenvorstadt, that is, the part of the town formerly outside the city wall.",Laurenzenvorstadt is in the south. It is the part of town that used to be outside the city wall.
"Most Paranthropus species seem almost certainly not to have used language nor to have controlled fire, although they are directly associated with the latter at Swartkrans, South Africa.","Most Paranthropus seem to have not used language or had control of fire. The Paranthropus in Swartkrans, South Africa did though."
"In syntax, a verb is a word (part of speech) that usually denotes an action (bring, read), an occurrence (decompose, glitter), or a state of being (exist, stand).","As a rule, a verb is a part of speech that usually stands for an action, and occurance, or a state of being."
Sea snakes occur mainly in the Indian Ocean and the southwest Pacific.,Sea snakes live mainly in the Indian Ocean and the southwest Pacific.
He went on to author the animator's bible The Illusion of Life with Frank Thomas.,He wrote the animator's bible The Illusion of Life with Frank Thomas.
"Launched in 1994, InStyle currently has a circulation of 1.7 million.",InStyle started in 1994 and currently has a circulation of 1.7 million.
This can be mitigated by using multiple Kerberos servers and fallback authentication mechanisms.,This can be fixed by using multiple Kerberos servers and fallback authentication mechanisms.
This is also the origin of the terms ante meridiem and post meridiem as noted below.,This is also the origin of the terms ante meridiem and post meridiem.
He proceeded to score in Celtic's 1 0 UEFA Champions League win against Copenhagen from the penalty spot and netted two in the 3 0 win over Benfica.,He scored in Celtic's 1 0 UEFA Champions League win against Copenhagen from the penalty spot and made two in the 3 0 win over Benfica.
Kerberos protocol messages are protected against eavesdropping and replay attacks.,Kerberos protocol messages are protected against listening and replay attacks.
"Bagnotar is bounded by the following union councils, to the north by Sarbhana, to the east and to the south by Namli Maira, and to the west by Bagh.","Bagnotar is bordered by the following union councils, to the north by Sarbhana, to the east and to the south by Namli Maira, and to the west by Bagh."
"It crossed the Florida peninsula that night, causing the issuance of numerous severe thunderstorm and tornado warnings.","It crossed the Florida peninsula that night, triggering numerous severe thunderstorm and tornado warnings."
"The station, and all trains serving it, are operated by National Express East Anglia.","The station, and all the trains are operated by National Express East Anglia."
Tag team match for the World Tag Team Championship 08: 51 2 Chavo Guerrero (c) defeated Jimmy Wang Yang.,Tag team match for the World Tag Team Championship where Chavo Guerrero (c) defeated Jimmy Wang Yang.
"Tarvos, or Saturn XXI, is a prograde irregular satellite of Saturn.",Tarvos is a prograde irregular satellite of Saturn.
A small community formed that same year about 4 miles (6 km) east of the present city.,A small community was made that same year about 4 miles (6 km) east of the present city.
"Super Mario RPG: Legend of the Seven Stars, often shortened and officially known in Japan as, is a hybrid adventure / console role-playing game developed and published by Square (now Square Enix) and Nintendo.",Super Mario RPG: Legend of the Seven Stars is a hybrid adventure / console role-playing game developed and published by Square (now Square Enix) and Nintendo.
"Some of the characters are fully fictional, although they may have been based on actual persons.","Some of the characters are made up, although they may have been based on actual people."
"In a departure from his usual repertoire, he sang ""You'll Never Walk Alone"" from the Broadway musical Carousel at the Berlin Live 8 concert in 2005.","He sang ""You'll Never Walk Alone"" from the Broadway musical Carousel at the Berlin Live 8 concert in 2005."
"In addition, many feel that they are being pathologized for simply being different.",Also many feel that they are considered strange just because they are different.
Celestus fowleri is a species of lizard in the Anguidae family.,Celestus fowleri is a species of lizard in the Anguidae family.
"By the 1990s, the end of the cold war and normalisation of relations between some countries improved the prospects for creating a rail network across the Asian continent.","By the 1990s, the end of the cold war and improved relationships between countries a railroad across the Asian continent was planned."
"History and mandate The Drug Enforcement Administration was established on 1 July 1973, by Reorganization Plan No. 2 of 1973, signed by President Richard Nixon on 28 March 1973.","The Drug Enforcement Administration was created in 1973, by changing Plan No. 2, which was signed by President Richard Nixon."
"The National Coat of Arms of Denmark consists of three crowned blue lions accompanied by nine red hearts, all in a golden shield.",The National Coat of Arms of Denmark is a golden shield that has three crowned blue lions with nine red hearts.
